14,0,726,504,0.95,2
14,1,376,451,0.76,2
15,0,724,504,0.96,2
15,1,374,450,0.68,2
16,0,725,504,0.95,2
16,1,376,450,0.64,2
17,0,726,506,0.95,2
17,1,375,450,0.71,2
18,0,725,506,0.94,2
18,1,376,439,0.52,2
19,0,726,508,0.95,2
19,1,375,437,0.63,2
20,0,722,504,0.92,2
20,1,374,434,0.43,2
21,0,726,490,0.94,2
21,1,375,450,0.6,2
22,0,734,494,0.92,2
22,1,374,416,0.46,2
23,0,728,508,0.9,2
23,1,376,423,0.48,2
24,0,724,500,0.94,2
24,1,382,426,0.44,2
25,0,728,492,0.88,2
25,1,378,403,0.38,2
26,0,732,488,0.87,2
26,1,376,417,0.52,2
27,0,721,502,0.86,2
27,1,376,430,0.6,2
28,0,726,490,0.9,2
28,1,375,448,0.56,2
29,0,719,486,0.89,2
29,1,377,436,0.55,2
30,0,712,486,0.87,2
30,1,371,447,0.63,2
31,0,700,500,0.84,2
31,1,365,448,0.82,2
32,0,689,492,0.93,2
32,1,359,459,0.78,2
33,0,675,492,0.95,2
33,1,350,470,0.85,2
34,0,661,488,0.92,2
34,1,348,470,0.83,2
35,0,652,485,0.89,2
35,1,343,450,0.6,2
36,0,644,482,0.56,2
36,1,346,462,0.4,2
37,0,622,474,0.58,2
37,1,350,468,0.65,2
38,0,612,480,0.78,2
38,1,356,460,0.83,2
39,0,616,480,0.65,2
39,1,369,468,0.49,2
40,0,612,486,0.74,2
40,1,376,456,0.37,2
41,0,608,482,0.57,2
41,1,394,446,0.47,2
42,0,603,480,0.9,2
42,1,404,446,0.62,2
43,0,609,488,0.84,1
44,0,600,486,0.91,2
44,1,431,436,0.38,2
45,0,590,495,0.65,1
46,0,594,483,0.58,2
46,1,434,440,0.3,2
47,0,568,478,0.68,1
48,0,562,492,0.62,1
49,0,555,513,0.52,1
51,1,491,436,0.35,1
53,1,516,418,0.34,1
54,1,532,418,0.33,1
55,1,542,424,0.52,1
61,2,428,480,0.67,1
62,2,414,479,0.81,1
63,2,405,474,0.82,1
64,2,404,468,0.59,1
65,2,398,469,0.85,2
65,3,706,464,0.62,2
66,2,397,466,0.63,2
66,3,719,478,0.85,2
67,2,374,464,0.78,2
67,3,725,470,0.6,2
68,2,362,469,0.71,2
68,3,732,483,0.7,2
69,2,353,477,0.77,2
69,3,739,482,0.78,2
70,2,345,479,0.89,2
70,3,744,487,0.8,2
71,2,345,474,0.87,2
71,3,746,479,0.74,2
72,2,318,478,0.9,2
72,3,750,485,0.83,2
73,2,336,460,0.63,2
73,3,750,476,0.74,2
74,2,320,466,0.57,2
74,3,754,484,0.81,2
75,2,321,470,0.79,2
75,3,758,486,0.82,2
76,2,303,474,0.74,2
76,3,762,494,0.9,2
77,2,302,471,0.82,2
77,3,764,496,0.86,2
78,2,298,469,0.95,2
78,3,768,499,0.86,2
79,2,296,461,0.93,2
79,3,766,498,0.86,2
80,2,299,464,0.97,2
80,3,766,496,0.85,2
81,2,307,454,0.95,2
81,3,768,500,0.91,2
82,2,315,464,0.95,2
82,3,770,502,0.76,2
83,2,332,458,0.86,2
83,3,774,470,0.65,2
84,2,338,458,0.8,2
84,3,776,466,0.79,2
85,2,357,452,0.58,2
85,3,776,462,0.61,2
86,2,381,439,0.76,2
86,3,776,486,0.61,2
87,2,396,443,0.62,2
87,3,774,474,0.56,2
88,2,404,434,0.42,2
88,3,770,476,0.76,2
89,2,418,444,0.47,2
89,3,766,484,0.72,2
90,3,766,498,0.94,1
91,2,429,466,0.86,2
91,3,764,502,0.87,2
92,2,446,466,0.57,2
92,3,758,504,0.84,2
93,2,446,464,0.63,2
93,3,753,506,0.98,2
94,2,451,472,0.64,2
94,3,748,502,0.9,2
95,2,462,480,0.89,2
95,3,743,504,0.94,2
96,2,478,500,0.7,2
96,3,730,506,0.93,2
97,3,716,505,0.87,1
98,2,496,494,0.65,2
98,3,708,503,0.96,2
99,2,506,476,0.75,2
99,3,695,506,0.93,2
100,2,537,469,0.73,2
100,3,682,498,0.95,2
101,2,548,448,0.54,2
101,3,674,503,0.52,2
102,2,560,472,0.59,2
102,3,666,506,0.31,2
103,2,556,497,0.36,2
103,3,644,495,0.33,2
105,2,608,503,0.6,1
106,2,623,501,0.84,1
108,2,645,477,0.65,1
109,2,648,464,0.63,1
110,2,646,454,0.59,1
111,2,664,454,0.61,1
113,2,676,456,0.63,1
114,2,698,460,0.83,1
115,2,712,473,0.74,1
116,2,726,464,0.73,1
117,2,738,464,0.81,1
118,2,748,464,0.81,2
118,3,512,489,0.68,2
119,2,756,467,0.69,1
120,2,756,450,0.46,1
121,2,760,434,0.44,1
122,2,772,452,0.67,2
122,3,438,508,0.76,2
123,2,786,488,0.81,1
124,2,790,494,0.9,2
124,3,396,500,0.48,2
125,2,800,484,0.85,2
125,3,374,492,0.78,2
126,2,802,477,0.89,2
126,3,378,470,0.68,2
127,2,800,476,0.92,2
127,3,367,466,0.65,2
128,2,804,476,0.83,2
128,3,366,467,0.77,2
129,2,809,494,0.93,2
129,3,352,470,0.78,2
130,2,802,492,0.97,2
130,3,352,444,0.4,2
131,2,801,489,0.98,2
131,3,344,454,0.69,2
132,2,792,485,0.96,2
132,3,340,435,0.6,2
133,2,788,492,0.96,2
133,3,337,426,0.6,2
134,2,786,496,0.93,2
134,3,344,408,0.51,2
135,2,774,495,0.94,2
135,3,345,399,0.65,2
136,2,764,490,0.91,2
136,3,342,381,0.7,2
